Time TemSup TemRet Out On
42082 22.21303711 19.225 6.700006104 0
42082.00208 22.23113403 19.24230347 6.674188232 0
42082.00417 22.24486694 19.2595459 6.656304932 0
42082.00625 22.25393066 19.27654419 6.64574585 0
42082.00833 22.25847778 19.2930542 6.641931152 0
42082.01042 22.25875244 19.3088623 6.644219971 0
42082.0125 22.25515137 19.32372437 6.652032471 0
42082.01458 22.24804077 19.33739624 6.664758301 0
42082.01667 22.23781738 19.34978638 6.681756592 0
42082.01875 22.22493896 19.36083374 6.702478027 0
42082.02083 22.20983276 19.37059937 6.726251221 0
42082.02292 22.19286499 19.37905273 6.752496338 0
42082.025 22.17446289 19.38631592 6.780633545 0
42082.02708 22.15505371 19.39248047 6.810021973 0
42082.02917 22.13503418 19.39766846 6.840081787 0
42082.03125 22.11480103 19.40200195 6.870141602 0
42082.03333 22.09478149 19.40557251 6.899682617 0
42082.03542 22.0753418 19.40859375 6.928033447 0
42082.0375 22.0569397 19.41115723 6.954614258 0
42082.03958 22.03994141 19.41341553 6.978814697 0
42082.04167 22.02474365 19.41552124 6.999993896 0
42082.04375 22.01091919 19.41762695 7.019677734 0
42082.04583 21.99736938 19.41985474 7.03963623 0
42082.04792 21.98381958 19.42220459 7.059869385 0
42082.05 21.97023926 19.42470703 7.080316162 0
42082.05208 21.95653687 19.42733154 7.100946045 0
42082.05417 21.94274292 19.42998657 7.12166748 0
42082.05625 21.9288269 19.4326416 7.142510986 0
42082.05833 21.91484985 19.4352356 7.163354492 0
42082.06042 21.90084229 19.43773804 7.184197998 0
42082.0625 21.88683472 19.44014893 7.205010986 0
42082.06458 21.87285767 19.44240723 7.225701904 0
42082.06667 21.85891113 19.44451294 7.246240234 0
42082.06875 21.84508667 19.44646606 7.266595459 0
42082.07083 21.83141479 19.44838867 7.286706543 0
42082.07292 21.81792603 19.45028076 7.306573486 0
42082.075 21.80462036 19.45211182 7.326074219 0
42082.07708 21.79155884 19.45391235 7.345239258 0
42082.07917 21.77871094 19.45568237 7.363946533 0
42082.08125 21.76616821 19.45739136 7.382226563 0
42082.08333 21.75396118 19.45903931 7.399987793 0
42082.08542 21.74212036 19.46071777 7.417169189 0
42082.0875 21.73067627 19.46245728 7.433740234 0
42082.08958 21.71962891 19.46428833 7.44979248 0
42082.09167 21.70891724 19.46621094 7.465325928 0
42082.09375 21.69854126 19.46825562 7.480462646 0
42082.09583 21.68837891 19.47039185 7.495263672 0
42082.09792 21.67846069 19.47265015 7.509729004 0
42082.1 21.66872559 19.47496948 7.52401123 0
42082.10208 21.65911255 19.47734985 7.538079834 0
42082.10417 21.64956055 19.47976074 7.552087402 0
42082.10625 21.64006958 19.48217163 7.566033936 0
42082.10833 21.6305481 19.48461304 7.580010986 0
42082.11042 21.62099609 19.48699341 7.594049072 0
42082.1125 21.61135254 19.48934326 7.608239746 0
42082.11458 21.60158691 19.49163208 7.622644043 0
42082.11667 21.59163818 19.49382935 7.637322998 0
42082.11875 21.58147583 19.49593506 7.652337646 0
42082.12083 21.57106934 19.4979187 7.667749023 0
42082.12292 21.56035767 19.49974976 7.683618164 0
42082.125 21.54927979 19.50139771 7.700006104 0
42082.12708 21.53783569 19.50286255 7.716912842 0
42082.12917 21.52605591 19.50411377 7.734307861 0
42082.13125 21.51394043 19.50515137 7.752130127 0
42082.13333 21.50151978 19.50594482 7.770410156 0
42082.13542 21.48879395 19.50652466 7.789056396 0
42082.1375 21.47579346 19.50682983 7.808099365 0
42082.13958 21.46251831 19.50692139 7.827478027 0
42082.14167 21.44899902 19.50679932 7.847192383 0
42082.14375 21.43526611 19.50643311 7.867211914 0
42082.14583 21.42131958 19.50585327 7.887506104 0
42082.14792 21.40718994 19.50509033 7.908044434 0
42082.15 21.3928772 19.50411377 7.928796387 0
42082.15208 21.37841187 19.50298462 7.949761963 0
42082.15417 21.36379395 19.50164185 7.970910645 0
42082.15625 21.34908447 19.50014648 7.992181396 0
42082.15833 21.33425293 19.49849854 8.013604736 0
42082.16042 21.31929932 19.49666748 8.035119629 0
42082.1625 21.30431519 19.49471436 8.056695557 0
42082.16458 21.28927002 19.49260864 8.07833252 0
42082.16667 21.27416382 19.49035034 8.1 0
