time	MetEireann	Belturbet	Clones
3	8.9	8.523333333	6.8
6	9	8.355	7.4
9	9.3	8.436666667	8.4
12	11.5	10.43666667	11
15	12.5	11.655	11.3
18	13.5	12.72333333	11.8
21	10.8	11.415	9.1
24	6.6	7.798333333	9.2
27	4.1	5.118333333	8.8
30	3.8	4.381666667	5.8
33	4	3.548333333	5.8
36	4.2	3.668333333	7
39	6.3	5.976666667	5.8
42	5.7	5.153333333	4.9
45	5.8	5.158333333	4.4
48	5.6	4.745	5.5
51	5.2	5.206666667	3.9
54	3.4	4.093333333	4.3
57	2.8	4.208333333	6.2
60	2.9	4.325	8
63	5.5	6.125	7.3
66	3.3	4.658333333	4.4
69	-0.9	2.895	2.9
72	-2.3	1.74	2.1
75	1	0.271666667	2
78	2	1.355	0.7
81	3.8	3.053333333	0.8
84	5.2	4.223333333	1.7
87	6.4	5.843333333	3.3
90	5.6	6.398333333	1.4
93	5.6	4.783333333	1
96	6.4	5.363333333	1.3
99	8	6.221666667	2.3
102	8.2	6.856666667	2.7
105	9.2	7.938333333	3
108	10.1	8.795	3
111	10.4	9.896666667	2.6
114	9.8	9.516666667	2
117	9.4	8.925	1.5
120	9.2	8.673333333	1.9
123	8.6	8.031666667	3
126	3.3	5.078333333	2.8
129	2.6	4.033333333	2.6
132	3.9	4.033333333	4.8
135	6.2	5.976666667	5.8
138	4.4	5.21	3
141	4.4	3.855	1.7
144	5.3	4.895	1.4
147	6.4	5.42	1.9
150	7.7	6.871666667	1.4
153	8.8	7.858333333	0.1
156	10.1	9.423333333	2.9
159	11	10.295	4
162	8	10.12166667	2.4
165	7.4	7.963333333	3.1
168	6.9	7.005	5
171	5.8	5.9	6.3
174	5.1	4.72	7.4
177	3.4	3.61	8
180	4.5	3.848333333	9.5
183	5.8	6.001666667	10.1
186	5.7	5.465	10.7
189	6.3	5.935	11.4
192	9.2	7.536666667	12.2
195	9.6	8.705	11.8
198	8	7.971666667	11.7
201	7.3	7.335	9.2
204	7.1	6.763333333	9.1
207	12.8	10.59166667	8.1
210	12.2	12.06	7.3
213	12.5	11.985	4.4
216	12.2	12.03666667	3.8
219	12.3	11.94166667	3
222	7	8.323333333	2.3
